"","Year","1","2","3","4","5","6","7","8","9","10"
"1",1979,"Arteriosclerotic/ischaemic and degenerative","Cerebrovascular disease","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other malignant neoplasms","Pneumonia","Other obstructive pulmonary diseases","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"2",1980,"Arteriosclerotic/ischaemic and degenerative","Cerebrovascular disease","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Pneumonia","Other malignant neoplasms","Other obstructive pulmonary diseases","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"3",1981,"Arteriosclerotic/ischaemic and degenerative","Cerebrovascular disease","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Other malignant neoplasms","Pneumonia","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"4",1982,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other malignant neoplasms","Other obstructive pulmonary diseases","Pneumonia","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"5",1983,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Other malignant neoplasms","Pneumonia","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"6",1984,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"7",1985,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"8",1986,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"9",1987,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"10",1988,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Pneumonia","Other obstructive pulmonary diseases","Other malignant neoplasms","Colon neoplasm","Breast neoplasm","Diabetes Mellitus"
"11",1989,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Colon neoplasm","Diabetes Mellitus","Breast neoplasm"
"12",1990,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Colon neoplasm","Diabetes Mellitus","Breast neoplasm"
"13",1991,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Diabetes Mellitus","Colon neoplasm","Breast neoplasm"
"14",1992,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Cerebrovascular disease","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Diabetes Mellitus","Colon neoplasm","Breast neoplasm"
"15",1993,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Diabetes Mellitus","Colon neoplasm","Breast neoplasm"
"16",1994,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Diabetes Mellitus","Colon neoplasm","Breast neoplasm"
"17",1995,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Diabetes Mellitus","Colon neoplasm","Breast neoplasm"
"18",1996,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Other malignant neoplasms","Diabetes Mellitus","Colon neoplasm","Breast neoplasm"
"19",1997,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Diabetes Mellitus","Other malignant neoplasms","Colon neoplasm","Other diseases of the digestive system"
"20",1998,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Pneumonia","Diabetes Mellitus","Other malignant neoplasms","Colon neoplasm","Hypertensive heart disease"
"21",1999,"Arteriosclerotic/ischaemic and degenerative","Cerebrovascular disease","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Other malignant neoplasms","Diabetes Mellitus","Pneumonia","Colon neoplasm","Other diseases of the digestive system"
"22",2000,"Arteriosclerotic/ischaemic and degenerative","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other forms of heart disease","Other obstructive pulmonary diseases","Other malignant neoplasms","Diabetes Mellitus","Pneumonia","Alzheimer's disease","Colon neoplasm"
"23",2001,"Arteriosclerotic/ischaemic and degenerative","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other forms of heart disease","Other obstructive pulmonary diseases","Diabetes Mellitus","Other malignant neoplasms","Pneumonia","Alzheimer's disease","Other diseases of the digestive system"
"24",2002,"Arteriosclerotic/ischaemic and degenerative","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other forms of heart disease","Other obstructive pulmonary diseases","Diabetes Mellitus","Other malignant neoplasms","Pneumonia","Alzheimer's disease","Hypertensive heart disease"
"25",2003,"Arteriosclerotic/ischaemic and degenerative","Cerebrovascular disease","Trachea, bronchus, and lung neoplasm","Other forms of heart disease","Other obstructive pulmonary diseases","Diabetes Mellitus","Other malignant neoplasms","Alzheimer's disease","Pneumonia","Hypertensive heart disease"
"26",2004,"Arteriosclerotic/ischaemic and degenerative","Trachea, bronchus, and lung neoplasm","Other forms of heart disease","Cerebrovascular disease","Other obstructive pulmonary diseases","Diabetes Mellitus","Other malignant neoplasms","Alzheimer's disease","Pneumonia","Hypertensive heart disease"
"27",2005,"Arteriosclerotic/ischaemic and degenerative","Trachea, bronchus, and lung neoplasm","Other forms of heart disease","Cerebrovascular disease","Other obstructive pulmonary diseases","Diabetes Mellitus","Alzheimer's disease","Other malignant neoplasms","Pneumonia","Other mental and behavioural disorders"
"28",2006,"Arteriosclerotic/ischaemic and degenerative","Trachea, bronchus, and lung neoplasm","Other forms of heart disease","Cerebrovascular disease","Other obstructive pulmonary diseases","Other mental and behavioural disorders","Alzheimer's disease","Diabetes Mellitus","Other malignant neoplasms","Hypertensive heart disease"
"29",2007,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Cerebrovascular disease","Other obstructive pulmonary diseases","Other mental and behavioural disorders","Alzheimer's disease","Diabetes Mellitus","Other malignant neoplasms","Hypertensive heart disease"
"30",2008,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Cerebrovascular disease","Other mental and behavioural disorders","Alzheimer's disease","Other malignant neoplasms","Diabetes Mellitus","Hypertensive heart disease"
"31",2009,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Cerebrovascular disease","Other mental and behavioural disorders","Alzheimer's disease","Other malignant neoplasms","Diabetes Mellitus","Hypertensive heart disease"
"32",2010,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Cerebrovascular disease","Other mental and behavioural disorders","Alzheimer's disease","Other malignant neoplasms","Diabetes Mellitus","Hypertensive heart disease"
"33",2011,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Cerebrovascular disease","Other mental and behavioural disorders","Alzheimer's disease","Diabetes Mellitus","Other malignant neoplasms","Hypertensive heart disease"
"34",2012,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other obstructive pulmonary diseases","Other mental and behavioural disorders","Cerebrovascular disease","Alzheimer's disease","Other malignant neoplasms","Diabetes Mellitus","Hypertensive heart disease"
"35",2013,"Arteriosclerotic/ischaemic and degenerative","Other forms of heart disease","Trachea, bronchus, and lung neoplasm","Other mental and behavioural disorders","Other obstructive pulmonary diseases","Cerebrovascular disease","Alzheimer's disease","Diabetes Mellitus","Other malignant neoplasms","Hypertensive heart disease"
